Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5Z3zRrMIJk7CVpfcLsM9wD,"King","Communion (Deluxe)","Olly Alexander (Years & Years)",2015-06-22,215360,64,,2025-01-06T17:42:53Z,"dance pop,gauze pop,pop,pop dance,uk pop","Polydor Records",0.56,0.857,4,-4.145,0,0.0384,0.0594,0,0.381,0.432,119.975,4
633Zk0NRe7kuglSgPmUvSG,"Time To Say Goodbye","Romanza (Edición Especial En Español)","Andrea Bocelli,Sarah Brightman",1996-01-01,246266,63,,2025-01-06T08:12:23Z,"classical tenor,italian tenor,operatic pop","Sugar (GB)",0.201,0.462,7,-6.14,1,0.0342,0.916,0.00134,0.0932,0.395,157.946,3
5Byvs8uIVgPZVQN3Pw7UgL,"ONANON","ONANON","Killen.",2025-01-03,195638,48,,2025-01-05T22:11:40Z,"","WM Sweden",0.675,0.664,10,-8.726,1,0.0336,0.0982,0.196,0.0878,0.446,130.02,4
3MJ6lFNV12FSHAOzTzkwxz,"Smile","Smile","Morgan Wallen",2024-12-31,224127,78,,2025-01-05T20:58:03Z,"contemporary country","Big Loud Records / Mercury Records / Republic Records",0.502,0.223,11,-11.285,1,0.0331,0.943,0.00000378,0.0766,0.396,126.31,4
3jixbQHg5vDuZRNqzordcI,"Chillanjirukkiye (From Lubber Pandhu)","Chillanjirukkiye (From Lubber Pandhu)","Sean Roldan,Pradeep Kumar,Sivaangi Krishnakumar",2023-11-10,247448,66,,2025-01-05T05:39:28Z,"filmi,tamil pop","Sony Music Entertainment India Pvt. Ltd.",0.559,0.496,10,-10.34,0,0.0667,0.531,0,0.09,0.531,117.63,3
2nltARCkZyrzjQANViDpuX,"Jacob and the Stone","Minari (Original Motion Picture Soundtrack)","Emile Mosseri",2021-02-12,98560,72,,2025-01-05T03:03:22Z,"","Masterworks",0.193,0.171,1,-18.494,1,0.0368,0.915,0.942,0.119,0.105,84.067,4
6LT7bcpxRV7y2ipQbOvgka,"Aasa Orave","Lubber Pandhu (Original Motion Picture Soundtrack)","Sean Roldan",2024-08-28,226588,57,,2025-01-04T16:22:59Z,"filmi,tamil pop","Sony Music Entertainment India Pvt. Ltd.",0.54,0.52,4,-7.626,1,0.0329,0.451,0,0.0913,0.714,169.883,4
6HTprulGfeFVrLLvfi3t8a,"Mr. Saxobeat - Radio Edit","Saxobeats","Alexandra Stan",2011-10-25,195105,63,,2025-01-03T02:30:35Z,"romanian pop","Ultra Records, LLC",0.732,0.925,11,-4.165,0,0.051,0.0276,0.000238,0.14,0.782,127.012,4
4Hvf9xIeJWp5p9FkJerQhN,"Malare","Premam","Vijay Yesudas,Rajesh Murugesan",2015-03-25,316551,57,,2025-01-03T01:15:39Z,"filmi,mollywood","Muzik247",0.468,0.501,11,-10.841,1,0.03,0.752,0.0000121,0.108,0.544,82.525,3
5IPJsGFKtxKDPCkT8lhEjN,"The Rhythm of the Night","The Rhythm of the Night","Corona",1995,264306,52,,2025-01-02T19:46:07Z,"diva house,eurodance,europop,hip house","Rhino",0.688,0.782,5,-12.291,0,0.034,0.000235,0.666,0.0955,0.77,127.822,4
5EWPGh7jbTNO2wakv8LjUI,"Free Bird","Pronounced' Leh-'Nerd 'Skin-'Nerd","Lynyrd Skynyrd",1973-01-01,547106,75,,2025-01-02T16:20:36Z,"album rock,classic rock,hard rock,rock,southern rock","Geffen*",0.249,0.834,0,-8.21,1,0.0574,0.0742,0.0000969,0.0924,0.337,118.222,4
7CvOnbFdnIoXMQ4eFCo5lB,"Around the World (La La La La La) - Radio Version","Planet Pop","A Touch Of Class,Pete Konemann",2000-11-06,214533,67,,2025-01-02T04:53:31Z,"europop","Sony Music Catalog",0.617,0.977,9,-7.028,0,0.0276,0.153,0.0016,0.133,0.679,131.965,4
5YHPH0wpc5IMqNNrbN3JMm,"Sleep Away","Bob Acri","Bob Acri",2009-09-05,201226,38,,2024-12-28T15:08:58Z,"","Blujazz",0.507,0.137,5,-21.449,0,0.0393,0.939,0.929,0.112,0.256,99.496,3
6gXzRzLtdNSbsJVg72J3AA,"MONTAGEM VOZES PROFUNDAS - TikTok Version","MONTAGEM VOZES PROFUNDAS (TikTok Version)","DJ MAXZZ,DJ JL3 DA ZN,DJ CD 011",2024-07-12,54308,74,,2024-12-25T10:14:37Z,"","DJ MAXZZ",0.664,0.94,1,2.605,1,0.102,0.16,0.364,0.337,0.241,93.413,4
6mICuAdrwEjh6Y6lroV2Kg,"Chantaje (feat. Maluma)","El Dorado","Shakira,Maluma",2017-05-26,195840,76,,2024-12-25T08:25:27Z,"colombian pop,dance pop,latin pop,pop,reggaeton,reggaeton colombiano,trap latino,urbano latino","Sony Music Latin",0.852,0.773,8,-2.921,0,0.0776,0.187,0.0000305,0.159,0.907,102.034,4
3kAgZmCTxgsYNieQoH7Zwm,"Theeyaga Thondri (From Aranmanai 3)","Theeyaga Thondri (From Aranmanai 3) - Single","Hariharan,Shankar Mahadevan,C. Sathya",2021-10-13,287269,30,,2024-12-25T03:00:05Z,"filmi,ghazal,tamil pop","Saregama",0.599,0.806,0,-8.217,1,0.0764,0.0695,0,0.107,0.493,114.021,4
7kvLAPEnEPlSbhZDlHFv0p,"Yeh Fitoor Mera","Fitoor (Original Motion Picture Soundtrack)","Amit Trivedi,Arijit Singh",2018-05-15,283070,65,,2024-12-24T04:13:39Z,"filmi,modern bollywood","Zee Music Company",0.45,0.42,4,-8.92,1,0.0272,0.386,0.000106,0.11,0.201,163.749,3
2tINAp2zAT3ZCM0xWEWDfz,"Darling - Instrumental","Darling (Instrumental)","LeoKarlo",2020-02-14,180040,61,,2024-12-23T21:12:51Z,"ndombolo","LeoKarlo",0.64,0.661,9,-12.336,0,0.0552,0.402,0.776,0.121,0.499,96.042,3
5iwz1NiezX7WWjnCgY5TH4,"Calma - Remix","Calma (Remix)","Pedro Capó,Farruko",2018-10-05,238200,69,,2024-12-23T03:31:25Z,"latin pop,puerto rican pop,reggaeton,trap latino,urbano latino","Sony Music Latin",0.826,0.773,11,-4.218,0,0.0524,0.323,0,0.143,0.761,126.899,4
0bSHwuTOZVJUXWT03H9oD2,"Succession (Main Title Theme)","Succession: Season 1 (HBO Original Series Soundtrack)","Nicholas Britell",2019-08-09,102013,59,,2024-12-23T01:53:26Z,"orchestral soundtrack,soundtrack","Milan",0.366,0.471,8,-6.369,1,0.0363,0.000226,0.868,0.0673,0.037,140.142,4
